"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length"
"IFITM8P",610,NA,NA,"pseudogene",NA,NA
"LOC105375875",4859,2,6,"lncRNA",334,"146"
"LOC105375874",21420,3,7,"lncRNA",232,"2001"
"LOC102724612",9633,1,4,"lncRNA",142,"2423"
"RN7SKP135",246,NA,NA,"pseudogene",NA,NA
"LOC105375876",4790,1,3,"lncRNA",113,"2202"
"LINC01289",16073,1,3,"lncRNA",822,"6180.5"
"LINC01414",511779,1,5,"lncRNA",72,"109433"
"COX6CP8",225,NA,NA,"pseudogene",NA,NA
"LOC105375877",1666,1,3,"lncRNA",137,"658.5"
"MIR124-2HG",14281,4,7,"lncRNA",431,"3109"
"MIR124-2",108,3,3,"miRNA",109,NA
"LOC107986878",245,NA,NA,"pseudogene",NA,NA
"BHLHE22-AS1",7588,2,3,"lncRNA",1351,"2673.5"
"LOC124900252",4387,1,2,"protein_coding",NA,NA
"BHLHE22",3262,1,1,"protein_coding",3263,NA
"CYP7B1",212257,3,10,"protein_coding",207,"8129"
"LOC105375879",18659,1,3,"lncRNA",89,"9090.5"
"LOC105375878",17004,9,20,"lncRNA",118,"1393"
"LOC105375880",10904,1,5,"lncRNA",114,"1542"
"RPL31P41",371,NA,NA,"pseudogene",NA,NA
"LINC00251",19199,1,4,"lncRNA",161,"4418"
"LOC105375881",4430,1,3,"lncRNA",89,"2051.5"
"PPIAP86",519,NA,NA,"pseudogene",NA,NA
"LINC01299",35675,1,5,"lncRNA",137,"2302.5"
"ARMC1",31730,3,9,"protein_coding",148.5,"4863"
"MTFR1",128027,12,35,"protein_coding",146,"11063.5"
"PDE7A",127725,3,16,"protein_coding",97,"3512"
"LOC105375883",41450,5,14,"lncRNA",85,"4344"
"DNAJC5B",86268,3,9,"protein_coding",172,"18650"
"TRIM55",62934,9,24,"protein_coding",NA,NA
"TRY-GTA5-1",92,1,2,"tRNA",NA,NA
"TRY-GTA5-2",88,1,2,"tRNA",NA,NA
"TRA-AGC8-2",72,1,1,"tRNA",NA,NA
"CRH",10294,4,9,"protein_coding",644,"801"
"LINC00967",5205,1,3,"lncRNA",595,"1851.5"
"LOC102724687",228700,6,12,"lncRNA",128.5,"9329"
"RRS1-DT",9386,1,3,"lncRNA",136,"2509"
"RRS1",1719,1,1,"protein_coding",1720,NA
"ADHFE1",36389,1,14,"protein_coding",98,"1953"
"LOC100131770",459,NA,NA,"pseudogene",NA,NA
"VXN",24959,1,6,"protein_coding",125.5,"3383"
"RNU6-1324P",106,NA,NA,"pseudogene",NA,NA
"LOC124901955",36121,2,5,"lncRNA",207,"6579"
"MYBL1",51047,5,23,"protein_coding",117,"2122.5"
"LOC105375884",1276,1,2,"lncRNA",442.5,"392"
"VCPIP1",38743,1,3,"protein_coding",2983,"14394"
"C8orf44-SGK3",195158,1,19,"protein_coding",88,"4580"
"C8orf44",13933,2,4,"lncRNA",158,"1766"
"SGK3",149959,2,2,"protein_coding",87.5,"4191.5"
"PTTG3P",705,1,1,"transcribed_pseudogene",706,NA
"MCMDC2",55662,5,23,"protein_coding",143,"2503"
"SNHG6",3851,1,5,"lncRNA",105,"1626.5"
"SNORD87",75,1,1,"snoRNA",76,NA
"TCF24",16090,1,4,"protein_coding",338,"341"
"PPP1R42",64451,3,11,"protein_coding",139,"6646"
"LOC100288001",2533,NA,NA,"pseudogene",NA,NA
"LOC124902097",173,NA,NA,"pseudogene",NA,NA
"LOC105375885",9034,2,5,"lncRNA",61,"3214.5"
"COPS5",19039,1,8,"protein_coding",139,"2408"
"CSPP1",134205,12,46,"protein_coding",110,"2681.5"
"RNA5SP268",123,NA,NA,"pseudogene",NA,NA
"LOC124901956",3836,1,2,"lncRNA",990,"1857"
"ARFGEF1",170306,4,51,"protein_coding",NA,NA
"NPM1P44",1157,NA,NA,"pseudogene",NA,NA
"ARFGEF1-DT",147989,2,7,"lncRNA",278,"20397"
"RPL17P31",612,NA,NA,"pseudogene",NA,NA
"CPA6",324294,2,13,"protein_coding",111,"6086.5"
"LOC105375886",58426,1,4,"lncRNA",79.5,"7568"
"NACAP10",818,NA,NA,"pseudogene",NA,NA
"MTCYBP30",1117,NA,NA,"pseudogene",NA,NA
"MTND6P30",515,NA,NA,"pseudogene",NA,NA
"MTND5P44",2053,NA,NA,"pseudogene",NA,NA
"MTND4P39",1357,NA,NA,"pseudogene",NA,NA
"MTND4LP27",142,NA,NA,"pseudogene",NA,NA
"MTCO3P3",644,NA,NA,"pseudogene",NA,NA
"MTATP6P12",666,NA,NA,"pseudogene",NA,NA
"NDUFS5P6",294,NA,NA,"pseudogene",NA,NA
"PREX2",285249,4,42,"protein_coding",118,"3294"
"LOC105375888",13029,1,2,"lncRNA",463.5,"12103"
"LOC124901957",1568,1,3,"lncRNA",332,"338"
"RPL31P40",279,NA,NA,"pseudogene",NA,NA
"C8orf34-AS1",28028,1,3,"lncRNA",185,"13214.5"
"C8orf34",488659,5,21,"protein_coding",132,"22233"
"RFPL4AP2",888,NA,NA,"pseudogene",NA,NA
"RPS15AP25",459,NA,NA,"pseudogene",NA,NA
"RNA5SP269",136,NA,NA,"pseudogene",NA,NA
"LOC107986951",9446,1,4,"lncRNA",123.5,"2655"
"LINC01592",192377,1,5,"lncRNA",193,"32498"
"RNU7-102P",61,NA,NA,"pseudogene",NA,NA
"TPM4P3",2149,NA,NA,"pseudogene",NA,NA
"TRE-CTC14-1",74,NA,NA,"pseudogene",NA,NA
"LOC124901958",5136,1,2,"lncRNA",2013.5,"1110"
"LINC01603",23392,1,4,"lncRNA",269.5,"4274"
"SULF1",193962,10,36,"protein_coding",143,"1953"
"SLCO5A1",167866,3,12,"protein_coding",199,"6091"
"RN7SKP29",271,NA,NA,"pseudogene",NA,NA
"LOC105375889",8229,1,3,"lncRNA",85,"3989.5"
"LOC100101127",6220,NA,NA,"pseudogene",NA,NA
"SLCO5A1-AS1",16402,2,5,"lncRNA",115,"6739"
"LOC100288097",1585,NA,NA,"pseudogene",NA,NA
"RN7SL675P",296,NA,NA,"pseudogene",NA,NA
"RNA5SP270",117,NA,NA,"pseudogene",NA,NA
"SDCBPP2",1477,NA,NA,"pseudogene",NA,NA
"SUMO2P20",392,NA,NA,"pseudogene",NA,NA
"PRDM14",19598,1,8,"protein_coding",180.5,"1724"
"RNU1-101P",126,NA,NA,"pseudogene",NA,NA
"H2AZP2",849,NA,NA,"pseudogene",NA,NA
"NCOA2",294523,14,40,"protein_coding",169.5,"2999"
"BTF3P12",905,NA,NA,"pseudogene",NA,NA
"RNY3P14",101,NA,NA,"pseudogene",NA,NA
"RPS18P11",532,NA,NA,"pseudogene",NA,NA
"LINC03020",14553,1,4,"lncRNA",649.5,"3382"
"RN7SL203P",295,NA,NA,"pseudogene",NA,NA
"RPL13P11",644,NA,NA,"pseudogene",NA,NA
"LOC105375890",10837,1,5,"lncRNA",249,"4826"
"TRAM1",35173,2,14,"protein_coding",117,"1673"
"LOC124902090",105,1,1,"snoRNA",106,NA
"LACTB2-AS1",54704,1,4,"lncRNA",249.5,"7398"
"LACTB2",31919,1,7,"protein_coding",164,"3428.5"
"RN7SL19P",305,NA,NA,"pseudogene",NA,NA
"XKR9",396398,7,14,"protein_coding",210.5,"4194"
"LOC124901959",9513,1,3,"lncRNA",1082,"3329.5"
"EYA1",357053,8,31,"protein_coding",NA,NA
"LOC105375894",13407,2,4,"lncRNA",206,"2334.5"
"TRAPPC2P2",640,NA,NA,"pseudogene",NA,NA
"LOC124901961",21500,1,3,"lncRNA",124,"10591"
"LOC102724772",6174,2,7,"lncRNA",97,"1116"
"LOC105375892",5263,1,3,"lncRNA",394,"2005"
"LOC107986890",6300,1,3,"lncRNA",126,"1080"
"LOC124900257",131,1,1,"snoRNA",132,NA
"MSC",2852,1,2,"protein_coding",978,"897"
"MSC-AS1",213071,2,6,"lncRNA",250.5,"88214"
"RPS20P20",337,NA,NA,"pseudogene",NA,NA
"TRPA1",68704,3,30,"protein_coding",115,"1566"
"LOC392232",48872,1,20,"transcribed_pseudogene",138,"2122"
"RNA5SP271",87,NA,NA,"pseudogene",NA,NA
"LOC100129527",555,NA,NA,"pseudogene",NA,NA
"LOC105375897",16986,1,3,"lncRNA",574,"7561"
"KCNB2",395062,2,4,"protein_coding",672,"195657.5"
"HAUS1P3",1101,NA,NA,"pseudogene",NA,NA
"LOC100419613",1602,NA,NA,"pseudogene",NA,NA
"LOC101926908",19805,1,3,"lncRNA",68,"9042"
"LOC124901963",3092,1,3,"lncRNA",83,"1423.5"
"TERF1",39271,1,18,"protein_coding",NA,NA
"RNU6-285P",99,NA,NA,"pseudogene",NA,NA
"SBSPON",28932,4,10,"protein_coding",195,"5900.5"
"LOC107986891",45189,1,3,"lncRNA",93,"22207.5"
"LOC646197",897,NA,NA,"pseudogene",NA,NA
"LOC105375901",37855,1,4,"lncRNA",134,"4980"
"C8orf89",44614,3,8,"protein_coding",167,"6726"
"PRXL2AP2",918,NA,NA,"pseudogene",NA,NA
"RPL7",4224,2,8,"protein_coding",152.5,"313.5"
"RDH10",30761,1,6,"protein_coding",191,"1615"
"RDH10-AS1",45619,1,6,"lncRNA",152.5,"6134"
"LOC105375899",2512,1,4,"lncRNA",158.5,"823"
"STAU2-AS1",21445,1,3,"lncRNA",173,"9695"
"STAU2",326670,3,18,"protein_coding",136,"11103"
"VENTXP6",1159,NA,NA,"pseudogene",NA,NA
"UBE2W",98704,2,10,"protein_coding",92,"14495"
"RN7SL760P",269,NA,NA,"pseudogene",NA,NA
"LINC01617",4082,1,3,"lncRNA",745,"743"
"GYG1P1",10507,NA,NA,"pseudogene",NA,NA
"ELOC",27176,4,13,"protein_coding",144,"12560"
"TMEM70",6588,1,5,"protein_coding",201.5,"1983"
"RPS20P21",518,NA,NA,"pseudogene",NA,NA
"DSTNP3",481,NA,NA,"pseudogene",NA,NA
"LY96",108459,5,9,"protein_coding",124,"9172"
"RNU6-1300P",107,NA,NA,"pseudogene",NA,NA
"RPS3AP32",832,NA,NA,"pseudogene",NA,NA
"RNU6-1197P",106,NA,NA,"pseudogene",NA,NA
"LOC105375903",8899,1,4,"lncRNA",151,"4026.5"
"JPH1",86874,2,11,"protein_coding",639.5,"7225"
"GDAP1",138728,4,12,"protein_coding",175,"1269"
"MIR5681B",60,2,2,"miRNA",61,NA
"MIR2052HG",158487,1,6,"lncRNA",83,"12959"
"PCBP2P2",1684,NA,NA,"pseudogene",NA,NA
"LINC03071",23533,1,7,"lncRNA",NA,NA
"MIR2052",54,2,2,"miRNA",55,NA
"PI15",30497,1,7,"protein_coding",137.5,"1026"
"CRISPLD1",50054,2,16,"protein_coding",119,"964"
"LOC105375905",14642,1,2,"lncRNA",287,"14069"
"CASC9",55749,2,4,"lncRNA",709.5,"54153"
"HIGD1AP6",278,NA,NA,"pseudogene",NA,NA
"PKMP4",599,NA,NA,"pseudogene",NA,NA
"HNF4G",159193,4,16,"protein_coding",154.5,"2784"
"LOC124902089",104,1,1,"snoRNA",105,NA
"LOC105375906",32775,1,5,"lncRNA",178,"2099"
"LOC102724858",175109,4,9,"lncRNA",147,"6338.5"
"RNU2-54P",189,NA,NA,"pseudogene",NA,NA
"LINC01109",969,1,1,"lncRNA",970,NA
"LINC01111",117309,1,6,"lncRNA",105,"25818"
"LOC107986952",113805,1,4,"lncRNA",150,"11512"
"MRPL9P1",1046,NA,NA,"pseudogene",NA,NA
"ZFHX4-AS1",72203,1,4,"lncRNA",215.5,"10001"
"ZFHX4",186026,1,12,"protein_coding",232,"6510"
"MIR3149",82,2,2,"miRNA",83,NA
"PEX2",20792,2,6,"protein_coding",152.5,"7845"
"HIGD1AP18",532,NA,NA,"pseudogene",NA,NA
"LOC105375909",22390,1,3,"lncRNA",190,"10363"
"LOC102724874",25627,1,3,"lncRNA",68,"12716"
"LOC105375911",268789,1,4,"lncRNA",544,"34580"
"RNU6-1220P",107,NA,NA,"pseudogene",NA,NA
"PKIA",88931,3,8,"protein_coding",NA,NA
"PKIA-AS1",24610,1,3,"lncRNA",101,"11300"
"ZC2HC1A",53609,2,12,"protein_coding",108,"2622.5"
"IL7",130264,4,9,"protein_coding",344,"6693"
"C4orf46P3",1533,1,1,"transcribed_pseudogene",1534,NA
"THAP12P7",3235,NA,NA,"pseudogene",NA,NA
"LOC105375914",132146,1,6,"lncRNA",144.5,"45400"
"LINC02605",3001,1,1,"lncRNA",3002,NA
"LOC105375912",42490,2,4,"lncRNA",126.5,"21064"
"LOC105375913",22852,1,2,"lncRNA",9261.5,"4330"
"LOC107986892",15623,1,3,"lncRNA",69,"7725"
"LOC105375915",6731,1,3,"lncRNA",107,"3191.5"
"MIR12123",86,2,2,"miRNA",87,NA
"RPL3P9",1255,NA,NA,"pseudogene",NA,NA
"STMN2",55051,2,8,"protein_coding",135.5,"8517"
"LOC105375916",17034,2,4,"lncRNA",86,"2914"
"LOC107986893",1742,1,4,"lncRNA",118,"584"
"HEY1",3758,2,7,"protein_coding",193,"280"
"LINC01607",34712,1,4,"lncRNA",102,"9143"
"LOC101927040",102390,1,6,"lncRNA",110,"18308"
"RNU7-85P",258,NA,NA,"pseudogene",NA,NA
"LOC124902076",62,1,1,"snRNA",63,NA
"LOC124901966",65756,2,4,"lncRNA",901,"33637"
"TPD52-MRPS28",253077,1,7,"protein_coding",140,"25249.5"
"MRPS28",111550,1,1,"protein_coding",224,"55356.5"
"TPD52",140704,5,11,"protein_coding",116,"6236"
"LOC105375919",2344,2,7,"lncRNA",247,"884"
"LOC105375918",4828,1,3,"lncRNA",84,"2093"
"LOC105375920",54442,3,8,"lncRNA",165.5,"12529"
"RN7SL41P",296,NA,NA,"pseudogene",NA,NA
"MIR5708",84,2,2,"miRNA",85,NA
"RPL13AP18",672,NA,NA,"pseudogene",NA,NA
"RPS5P5",739,NA,NA,"pseudogene",NA,NA
"LOC124900264",130,1,1,"snoRNA",131,NA
"LOC100216346",679,NA,NA,"pseudogene",NA,NA
"RNU6-1213P",93,NA,NA,"pseudogene",NA,NA
"LOC105375922",10970,1,4,"lncRNA",133,"3867"
"ZBTB10",40699,2,9,"protein_coding",232,"4426"
"RPSAP47",1033,NA,NA,"pseudogene",NA,NA
"OCIAD2P1",613,NA,NA,"pseudogene",NA,NA
"RNU2-71P",191,NA,NA,"pseudogene",NA,NA
"SLC25A51P3",1113,NA,NA,"pseudogene",NA,NA
"RN7SL107P",278,NA,NA,"pseudogene",NA,NA
"ZNF704",255962,3,13,"protein_coding",211,"11000"
"CKS1BP7",755,NA,NA,"pseudogene",NA,NA
"RNU11-6P",132,NA,NA,"pseudogene",NA,NA
"RN7SL308P",296,NA,NA,"pseudogene",NA,NA
"HMGB1P41",382,NA,NA,"pseudogene",NA,NA
"LOC107986894",6437,1,3,"lncRNA",288,"2865.5"
"PAG1",144272,5,24,"protein_coding",NA,NA
"LOC124901967",26527,1,2,"lncRNA",12801,"926"
"LOC105375924",11683,3,9,"lncRNA",190,"1617"
"UBE2HP1",1156,NA,NA,"pseudogene",NA,NA
"FABP5",4245,1,4,"protein_coding",156,"539"
"LOC105375925",21106,3,8,"lncRNA",266,"1033"
"LOC105375926",4170,1,3,"lncRNA",182,"1733.5"
"PMP2",7113,1,4,"protein_coding",126,"1881.5"
"FABP9",3326,1,4,"protein_coding",151,"461"
"LOC101927118",117981,2,10,"lncRNA",149,"5948"
"FABP4",4814,1,4,"protein_coding",156,"910"
"FTH1P11",907,NA,NA,"pseudogene",NA,NA
"FABP12",65681,4,10,"protein_coding",144,"1899"
"IMPA1P1",27393,1,8,"transcribed_pseudogene",107,"2289"
"NIPA2P4",1098,NA,NA,"pseudogene",NA,NA
"RPS26P34",552,NA,NA,"pseudogene",NA,NA
"SLC10A5P1",1118,NA,NA,"pseudogene",NA,NA
"IMPA1",29536,1,10,"protein_coding",107,"2284"
"SLC10A5",1427,1,1,"protein_coding",1428,NA
"ZFAND1",19957,3,14,"protein_coding",122,"1513.5"
"CHMP4C",27051,1,5,"protein_coding",178,"2390.5"
"SNX16",42608,4,15,"protein_coding",143,"2042"
"HNRNPA1P36",1230,NA,NA,"pseudogene",NA,NA
"LINC02235",81057,3,17,"lncRNA",117,"4539"
"LINC02839",51942,1,4,"lncRNA",NA,NA
"LOC105375930",18965,1,4,"lncRNA",129.5,"1885"
"HNRNPA1P4",1479,NA,NA,"pseudogene",NA,NA
"LOC105375931",190251,1,4,"lncRNA",160.5,"45226"
"LOC107986953",18448,1,3,"lncRNA",83,"9116.5"
"LOC101927141",49797,1,4,"lncRNA",127,"560"
"DPPA3P9",475,NA,NA,"pseudogene",NA,NA
"LOC100420845",870,NA,NA,"pseudogene",NA,NA
"LOC100533622",1479,NA,NA,"pseudogene",NA,NA
"LINC01419",5142,1,2,"lncRNA",760.5,"3622"
"LOC105375932",15181,1,3,"lncRNA",136,"7010"
"LOC101929943",21512,NA,NA,"pseudogene",NA,NA
"TPM3P3",530,NA,NA,"pseudogene",NA,NA
"RALYL",739327,10,26,"protein_coding",133.5,"30113"
"RNU6-1040P",106,NA,NA,"pseudogene",NA,NA
"PSMC2P2",1094,NA,NA,"pseudogene",NA,NA
"LOC100421444",584,NA,NA,"pseudogene",NA,NA
"LOC124902092",95,NA,NA,"pseudogene",NA,NA
"ACTBP6",1759,NA,NA,"pseudogene",NA,NA
"JCHAINP1",985,NA,NA,"pseudogene",NA,NA
"LOC105375933",21290,4,6,"lncRNA",215,"9742"
"LOC100422614",571,NA,NA,"pseudogene",NA,NA
"LRRCC1",38825,3,24,"protein_coding",175,"1600"
"E2F5-DT",4965,1,3,"lncRNA",211,"2239.5"
"E2F5",37363,2,10,"protein_coding",121,"1656"
"RBIS",6327,2,9,"protein_coding",117,"1821"
"LOC124901969",17420,2,5,"lncRNA",341,"4309.5"
"LOC105375936",21041,1,4,"lncRNA",144,"10172"
"CA13",38745,1,7,"protein_coding",156,"6036"
"CA1",50471,2,12,"protein_coding",116,"2645"
"CA3",10180,1,7,"protein_coding",119,"1382.5"
"CA3-AS1",23092,4,6,"lncRNA",123,"3826.5"
"CA2",17464,1,7,"protein_coding",119,"1320"
"LOC105375937",39058,1,7,"lncRNA",131,"2570.5"
"REXO1L8P",1135,NA,NA,"pseudogene",NA,NA
"LOC128966661",2049,1,1,"protein_coding",NA,NA
"REXO1L3P",1135,NA,NA,"pseudogene",NA,NA
"LOC124906690",956,1,1,"protein_coding",957,NA
"REXO1L11P",194,NA,NA,"pseudogene",NA,NA
"LOC124906692",2027,1,1,"protein_coding",2028,NA
"LOC124906693",2027,1,1,"protein_coding",2028,NA
"LOC124906694",1889,1,1,"protein_coding",1890,NA
"LOC124906695",2027,1,1,"protein_coding",2028,NA
"LOC124906696",2027,1,1,"protein_coding",2028,NA
"LOC124906697",2027,1,1,"protein_coding",2028,NA
"REXO1L1P",1154,NA,NA,"pseudogene",NA,NA
"LOC124906699",2027,1,1,"protein_coding",2028,NA
"LOC124906700",2027,1,1,"protein_coding",2028,NA
"LOC124906684",956,1,1,"protein_coding",957,NA
"LOC124906701",2027,1,1,"protein_coding",2028,NA
"LOC124906780",956,1,1,"protein_coding",957,NA
"LOC124906689",956,1,1,"protein_coding",957,NA
"LOC124906783",956,1,1,"protein_coding",957,NA
"LOC124906779",956,1,1,"protein_coding",957,NA
"LOC124906781",956,1,1,"protein_coding",957,NA
"LOC124906782",956,1,1,"protein_coding",957,NA
"LOC128966625",956,1,1,"protein_coding",NA,NA
"LOC128966630",2061,1,1,"protein_coding",NA,NA
"LOC124906777",1012,1,1,"protein_coding",1013,NA
"LOC124906702",2083,1,1,"protein_coding",2084,NA
"LOC124906688",1012,1,1,"protein_coding",1013,NA
"LOC124906687",1012,1,1,"protein_coding",1013,NA
"LOC124906703",2027,1,1,"protein_coding",2028,NA
"LOC124906704",2027,1,1,"protein_coding",2028,NA
"LOC124906705",2027,1,1,"protein_coding",2028,NA
"REXO1L10P",194,NA,NA,"pseudogene",NA,NA
"LOC124906706",2027,1,1,"protein_coding",2028,NA
"LOC124906707",2027,1,1,"protein_coding",2028,NA
"LOC124906708",2027,1,1,"protein_coding",2028,NA
"LOC124906709",2027,1,1,"protein_coding",2028,NA
"REXO1L9P",1135,NA,NA,"pseudogene",NA,NA
"REXO1L2P",1077,1,1,"transcribed_pseudogene",1078,NA
"LOC124906710",2027,1,1,"protein_coding",2028,NA
"LOC124906711",1889,1,1,"protein_coding",1890,NA
"LOC124902048",2027,1,1,"protein_coding",2028,NA
"REXO1L4P",1135,NA,NA,"pseudogene",NA,NA
"REXO1L5P",1135,NA,NA,"pseudogene",NA,NA
"REXO1L6P",1135,NA,NA,"pseudogene",NA,NA
"LINC02849",4080,1,3,"lncRNA",167,"1182"
"LOC124901971",24307,1,3,"lncRNA",102,"11122.5"
"LOC107986954",4813,1,4,"lncRNA",109.5,"837"
"RPL36AP31",392,NA,NA,"pseudogene",NA,NA
"RPL32P4",506,NA,NA,"pseudogene",NA,NA
"PSKH2",22870,2,6,"protein_coding",667,"9997.5"
"ATP6V0D2",55308,1,8,"protein_coding",174.5,"1814"
"LOC105375623",31838,2,6,"lncRNA",82,"9193"
"SLC7A13",16324,2,5,"protein_coding",473,"5142"
"WWP1-AS1",11159,1,12,"lncRNA",142,"1503"
"WWP1",125911,3,29,"protein_coding",121,"3544"
"RMDN1",46088,10,19,"protein_coding",92.5,"2340"
"NTAN1P2",1443,NA,NA,"pseudogene",NA,NA
"SLC2A3P4",3531,NA,NA,"pseudogene",NA,NA
"CPNE3",47089,3,21,"protein_coding",NA,NA
"CNGB3",169426,2,19,"protein_coding",131.5,"3762"
"MIOXP1",1030,NA,NA,"pseudogene",NA,NA
"GOLGA2P1",3071,NA,NA,"pseudogene",NA,NA
"UBE2Q2P10",4460,NA,NA,"pseudogene",NA,NA
"LOC107986895",20734,1,5,"lncRNA",102,"3862.5"
"CNBD1",564767,4,16,"protein_coding",146,"29806"
"VTA1P2",723,NA,NA,"pseudogene",NA,NA
"IARS2P1",3138,NA,NA,"pseudogene",NA,NA
"LOC105375626",58671,1,3,"lncRNA",62,"29244"
"SOX5P1",1486,NA,NA,"pseudogene",NA,NA
"LOC100419762",819,NA,NA,"pseudogene",NA,NA
"DCAF4L2",3263,1,1,"protein_coding",3264,NA
"LOC105375628",10027,1,4,"lncRNA",124,"2181"
"MMP16",295476,2,11,"protein_coding",156.5,"18314"
"LOC105375630",559740,3,13,"lncRNA",169,"23900"
"RNA5SP272",110,NA,NA,"pseudogene",NA,NA
"LOC105375629",125638,3,12,"lncRNA",107,"12312"
"RLIG1P3",1179,NA,NA,"pseudogene",NA,NA
"RPSAP74",476,NA,NA,"pseudogene",NA,NA
"KRT8P4",2634,NA,NA,"pseudogene",NA,NA
"LOC105375631",30888,1,2,"lncRNA",14652,"1585"
"RIPK2-DT",40299,1,5,"lncRNA",330,"3378.5"
"RIPK2",33250,2,12,"protein_coding",156,"2544"
"COX6B1P6",288,NA,NA,"pseudogene",NA,NA
"LOC124901974",11542,1,2,"lncRNA",4490.5,"2562"
"RNU6-925P",103,NA,NA,"pseudogene",NA,NA
"OSGIN2",26018,4,10,"protein_coding",173.5,"4355"
"NBN",51336,5,23,"protein_coding",138.5,"2410"
"DECR1",52156,2,14,"protein_coding",123.5,"2048"
"CALB1",24252,1,11,"protein_coding",74.5,"516"
"LINC00534",166466,1,4,"lncRNA",192.5,"35898"
"LOC124901975",267231,2,10,"lncRNA",129.5,"19707"
"LOC107986955",2455,1,3,"lncRNA",317,"804.5"
"RNA5SP273",112,NA,NA,"pseudogene",NA,NA
"LINC01030",13726,1,3,"lncRNA",296,"6481"
"TMEM64",24089,2,5,"protein_coding",973,"13403"
"LOC124906712",5853,1,3,"protein_coding",486,"984.5"
"LOC105375633",101740,1,4,"lncRNA",145.5,"12818"
"NECAB1",167715,1,13,"protein_coding",98,"8410"
"LOC105375635",6687,1,3,"lncRNA",257,"3017"
"LOC105375634",129325,8,12,"lncRNA",946,"7525"
"C8orf88",26921,2,7,"protein_coding",103,"4587.5"
"PIP4P2",47058,1,7,"protein_coding",124,"5623"
"OTUD6B-AS1",10283,2,4,"lncRNA",259,"108"
"OTUD6B",16749,3,11,"protein_coding",131.5,"2000"
"LRRC69",116650,1,12,"protein_coding",139,"7217.5"
"CPP",2644,NA,NA,"pseudogene",NA,NA
"MIR4661",74,3,3,"miRNA",75,NA
"SLC26A7",188650,3,23,"protein_coding",107,"3702"
"LOC105375637",3544,1,2,"lncRNA",1639,"267"
"LOC124902088",104,1,1,"snoRNA",105,NA
"RN7SKP231",237,NA,NA,"pseudogene",NA,NA
"PRR13P7",717,NA,NA,"pseudogene",NA,NA
"MRPS16P1",775,NA,NA,"pseudogene",NA,NA
"RUNX1T1",148436,17,32,"protein_coding",186.5,"5056"
"RPS26P10",440,NA,NA,"pseudogene",NA,NA
"LOC124906713",235,NA,NA,"pseudogene",NA,NA
"LOC105375638",5832,1,4,"lncRNA",167.5,"1806"
"LOC124901977",11217,1,3,"lncRNA",230,"4870"
"LOC105375639",49688,1,8,"lncRNA",156.5,"2427"
"LOC102724710",90089,1,5,"lncRNA",123,"14575.5"
"LOC101926956",14765,3,7,"lncRNA",305,"2830"
"FLJ46284",73095,1,3,"lncRNA",120,"34865"
"LOC124901978",24610,1,3,"lncRNA",9388,"2567"
"TRIQK",82594,2,12,"protein_coding",86,"17897.5"
"IRF5P1",2145,NA,NA,"pseudogene",NA,NA
"LOC124906785",33137,1,2,"lncRNA",223.5,"32691"
"MIR8084",88,2,2,"miRNA",89,NA
"LINC02906",32749,1,3,"lncRNA",120,"16081"
"LOC105375644",17348,2,7,"lncRNA",106,"1732"
"LOC105375643",40495,1,3,"lncRNA",186,"19749.5"
"LOC107986956",90012,2,5,"lncRNA",101,"37133"
"LOC105375642",14740,1,6,"lncRNA",153,"350"
"CIBAR1-DT",354257,1,11,"lncRNA",116,"17818"
"LOC124906786",4998,1,2,"lncRNA",805.5,"3388"
"RNA5SP274",107,NA,NA,"pseudogene",NA,NA
"LOC105375641",7728,1,4,"lncRNA",85.5,"2885"
"ZNF317P1",1227,NA,NA,"pseudogene",NA,NA
"CIBAR1",30917,4,19,"protein_coding",124,"1895"
"RBM12B",12872,6,12,"protein_coding",4214,"4184"
"RBM12B-AS1",708,1,1,"lncRNA",709,NA
"RBM12B-DT",3451,1,3,"lncRNA",NA,NA
"TMEM67",77854,9,46,"protein_coding",103,"1462"
"MYL12AP1",788,NA,NA,"pseudogene",NA,NA
"MIR378D2HG",910,1,1,"lncRNA",911,NA
"MIR378D2",97,2,2,"miRNA",98,NA
"PDP1",9145,2,7,"protein_coding",296,"2381"
"PSMA2P2",2791,NA,NA,"pseudogene",NA,NA
"RPL34P18",415,NA,NA,"pseudogene",NA,NA
"CDH17",90067,2,23,"protein_coding",137,"2795"
"LOC105375647",24334,1,3,"lncRNA",344,"11701.5"
"RPL6P23",1187,NA,NA,"pseudogene",NA,NA
"LOC105375648",3397,1,3,"lncRNA",85,"1178"
"GEM",13070,2,7,"protein_coding",205,"1561.5"
"LOC107986896",5502,1,3,"lncRNA",663,"750"
"RPS4XP10",794,NA,NA,"pseudogene",NA,NA
"RAD54B",103097,3,17,"protein_coding",198,"4446"
"FSBP",9227,1,NA,"protein_coding",2694.5,"3839"
"VIRMA",65770,3,27,"protein_coding",155,"2039"
"VIRMA-DT",16932,1,7,"lncRNA",NA,NA
"LOC100286997",681,NA,NA,"pseudogene",NA,NA
"LINC02894",2174,1,1,"lncRNA",2175,NA
"ESRP1",66351,2,17,"protein_coding",131,"2752"
"RPS15AP26",372,NA,NA,"pseudogene",NA,NA
"DPY19L4",73938,5,24,"protein_coding",122,"2537"
"INTS8",58472,2,32,"protein_coding",111,"1414"
"CCNE2",16484,5,16,"protein_coding",123.5,"920"
